i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
159,4598840,0.36039046,0.38486910,0.40921465,0.43404352,0.45572148,0.00000000,0.00000000,0.01558581,0.00000000,10.76064007,0.86205251
160,4608840,0.33448063,0.36039046,0.38486910,0.40921465,0.43404352,0.00000000,0.00000000,0.00000000,0.01558581,10.76064007,0.84003580
161,4618840,0.30930223,0.33448063,0.36039046,0.38486910,0.40921465,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.82859184
162,4628840,0.28497862,0.30930223,0.33448063,0.36039046,0.38486910,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.81370105
163,4638840,0.26158755,0.28497862,0.30930223,0.33448063,0.36039046,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.79945398
164,4648840,0.23817237,0.26158755,0.28497862,0.30930223,0.33448063,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.78180885
165,4658840,0.21753880,0.23817237,0.26158755,0.28497862,0.30930223,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.77742088
166,4668839,0.18975385,0.21753880,0.23817237,0.26158755,0.28497862,0.00000000,0.00000000,0.00000000,0.00000000,10.76064007,0.72907794
167,4678839,0.15797957,0.18975385,0.21753880,0.23817237,0.26158755,-0.02263640,0.00000000,0.00000000,0.00000000,10.73800367,0.70745457
168,4688840,0.12930298,0.15797957,0.18975385,0.21753880,0.23817237,0.00000000,-0.02263640,0.00000000,0.00000000,10.73800367,0.70671225
169,4698840,0.10271770,0.12930298,0.15797957,0.18975385,0.21753880,0.00000000,0.00000000,-0.02263640,0.00000000,10.73800367,0.68962845
170,4708840,0.07867140,0.10271770,0.12930298,0.15797957,0.18975385,0.00000000,0.00000000,0.00000000,-0.02263640,10.73800367,0.67802713
171,4718840,0.05601449,0.07867140,0.10271770,0.12930298,0.15797957,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.66232807
172,4728840,0.03342836,0.05601449,0.07867140,0.10271770,0.12930298,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.64463888
173,4738840,0.00923314,0.03342836,0.05601449,0.07867140,0.10271770,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.62287342
174,4748840,-0.01386333,0.00923314,0.03342836,0.05601449,0.07867140,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.61436721
175,4758840,-0.03140722,-0.01386333,0.00923314,0.03342836,0.05601449,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.61910983
176,4768840,-0.04283564,-0.03140722,-0.01386333,0.00923314,0.03342836,0.00000000,0.00000000,0.00000000,0.00000000,10.73800367,0.62084204
177,4778840,-0.05450070,-0.04283564,-0.03140722,-0.01386333,0.00923314,0.02583709,0.00000000,0.00000000,0.00000000,10.76384076,0.60144671
178,4788840,-0.07011795,-0.05450070,-0.04283564,-0.03140722,-0.01386333,0.00000000,0.02583709,0.00000000,0.00000000,10.76384076,0.57819947
179,4798843,-0.08893397,-0.07011795,-0.05450070,-0.04283564,-0.03140722,0.00000000,0.00000000,0.02583709,0.00000000,10.76384076,0.56287029
180,4808840,-0.10301419,-0.08893397,-0.07011795,-0.05450070,-0.04283564,0.00000000,0.00000000,0.00000000,0.02583709,10.76384076,0.57568048
181,4818844,-0.10335255,-0.10301419,-0.08893397,-0.07011795,-0.05450070,0.00000000,0.00000000,0.00000000,0.00000000,10.76384076,0.61227993
182,4828840,-0.09965633,-0.10335255,-0.10301419,-0.08893397,-0.07011795,0.00000000,0.00000000,0.00000000,0.00000000,10.76384076,0.60056643
